user_id,age,gender,region,subscription_type,payment_method,primary_device,account_age_months,favorite_genre,time_of_day,recommendation_source,session_count,avg_watch_time_minutes_per_week,watch_sessions_per_week,completion_rate,avg_rating_given,app_rating,recommendation_click_rate,days_since_last_login,churned
N00024,44,Male,Asia,Standard,Debit Card,Smart TV,57,Sci-Fi,Morning,Search,1,160,3,59,3,4,20,21,1
N00025,43,Female,North America,Basic,Credit Card,Smart TV,44,Romance,Afternoon,Trending,1,238,3,86,5,4,45,1,0
N00026,64,Male,Europe,Standard,Credit Card,Mobile,57,Comedy,Afternoon,Algorithm,1,103,5,73,4,4,64,5,0
N00027,53,Male,Asia,Basic,Debit Card,Laptop,73,Horror,Afternoon,Algorithm,1,211,3,80,3,4,50,11,1
N00028,35,Male,Europe,Basic,Paypal,Mobile,31,Action,Evening,Trending,1,196,4,65,4,3,57,0,0
N00029,20,Male,South America,Premium,Debit Card,Tablet,66,Sci-Fi,Evening,Algorithm,4,318,5,54,3,5,54,2,0
N00030,38,Male,Africa,Basic,Paypal,Mobile,65,Comedy,Night,Algorithm,1,194,4,79,4,4,35,0,1
N00031,32,Male,Asia,Standard,Debit Card,Smart TV,49,Drama,Evening,Algorithm,1,285,4,79,4,4,48,13,0
N00032,22,Female,Asia,Basic,Debit Card,Mobile,63,Comedy,Evening,Friend,1,115,2,88,4,4,39,8,0
N00033,70,Female,Europe,Premium,Credit Card,Tablet,92,Documentary,Evening,Trending,4,512,11,93,4,4,35,4,0
N00034,23,Female,South America,Standard,Paypal,Laptop,39,Action,Afternoon,Friend,2,85,2,75,4,4,25,0,0
N00035,47,Female,Europe,Premium,Paypal,Smart TV,40,Action,Night,Ads,4,261,5,42,4,4,34,44,0
N00036,34,Male,South America,Basic,Credit Card,Smart TV,38,Action,Evening,Trending,1,294,6,64,4,3,12,3,1
N00037,42,Female,Oceania,Basic,Credit Card,Smart TV,27,Action,Evening,Algorithm,1,372,9,77,3,5,34,42,1
N00038,41,Female,Asia,Basic,Credit Card,Smart TV,70,Romance,Evening,Algorithm,1,173,5,63,4,5,58,1,0
N00039,20,Male,Asia,Basic,Debit Card,Smart TV,37,Documentary,Evening,Ads,1,374,7,75,3,4,41,3,0
N00040,41,Female,Asia,Premium,Credit Card,Smart TV,75,Drama,Evening,Ads,1,129,3,51,4,3,56,1,1
N00041,55,Male,South America,Premium,Credit Card,Smart TV,73,Sci-Fi,Evening,Ads,1,385,7,84,4,5,31,2,0
N00042,38,Male,Oceania,Standard,Gift Card,Mobile,21,Sci-Fi,Afternoon,Trending,3,228,5,81,3,3,25,6,1
N00043,39,Male,Europe,Basic,Credit Card,Smart TV,64,Sci-Fi,Night,Trending,1,230,3,79,5,4,32,31,0
N00044,52,Male,South America,Basic,Paypal,Mobile,83,Comedy,Night,Ads,1,200,5,58,4,4,27,2,1
N00045,46,Female,Oceania,Premium,Debit Card,Mobile,11,Sci-Fi,Night,Algorithm,2,113,2,67,3,3,47,0,0
N00046,23,Male,Asia,Basic,Paypal,Smart TV,74,Action,Evening,Algorithm,1,525,10,76,4,4,45,28,0
N00047,24,Female,Europe,Basic,Debit Card,Smart TV,87,Documentary,Afternoon,Trending,1,257,4,55,4,3,40,51,1
N00048,20,Male,Europe,Basic,Gift Card,Smart TV,55,Romance,Night,Trending,1,267,3,76,4,4,22,16,1
N00049,40,Male,Asia,Premium,Credit Card,Mobile,46,Comedy,Evening,Algorithm,5,150,5,76,4,4,31,0,0
N00050,41,Female,Asia,Standard,Debit Card,Laptop,70,Romance,Afternoon,Friend,2,262,4,74,3,3,28,1,0
N00051,67,Male,Africa,Basic,Paypal,Mobile,36,Horror,Afternoon,Friend,1,96,1,70,3,2,18,57,1
N00052,40,Male,Asia,Premium,Credit Card,Smart TV,60,Comedy,Evening,Friend,5,275,5,59,4,5,75,2,0
N00053,20,Female,Europe,Premium,Paypal,Mobile,32,Comedy,Evening,Algorithm,1,91,3,43,3,4,48,43,1
N00054,45,Male,Oceania,Standard,Credit Card,Smart TV,37,Sci-Fi,Afternoon,Trending,1,342,8,64,4,4,63,3,0
N00055,45,Male,Europe,Premium,Paypal,Smart TV,24,Drama,Evening,Trending,5,362,10,85,5,4,45,1,0
N00056,40,Female,Africa,Premium,Debit Card,Smart TV,51,Sci-Fi,Evening,Friend,1,281,5,77,3,4,11,0,0
N00057,40,Male,Asia,Standard,Credit Card,Mobile,10,Action,Afternoon,Search,2,78,1,68,3,3,23,34,1
N00058,28,Male,Europe,Basic,Credit Card,Smart TV,30,Romance,Afternoon,Algorithm,1,668,10,76,5,5,41,26,0
N00059,35,Male,South America,Basic,Debit Card,Laptop,35,Drama,Afternoon,Search,1,172,4,70,3,4,34,39,0
N00060,62,Male,Europe,Standard,Credit Card,Tablet,61,Documentary,Afternoon,Friend,1,117,2,36,4,4,44,2,0
N00061,33,Male,Asia,Standard,Paypal,Mobile,56,Comedy,Night,Friend,3,541,11,85,4,4,46,1,0
N00062,23,Male,Europe,Standard,Paypal,Smart TV,32,Drama,Evening,Search,1,181,3,57,4,3,9,29,1
N00063,34,Male,Asia,Premium,Credit Card,Smart TV,39,Documentary,Evening,Trending,4,666,11,93,4,4,34,1,0
N00064,62,Male,North America,Basic,Paypal,Mobile,1,Comedy,Night,Algorithm,1,224,4,63,4,4,47,4,0
N00065,28,Female,Europe,Premium,Debit Card,Laptop,65,Comedy,Evening,Friend,3,291,6,88,4,4,62,1,0
N00066,43,Female,Asia,Basic,Credit Card,Mobile,25,Action,Afternoon,Search,1,83,1,51,4,4,0,53,1
N00067,55,Female,North America,Standard,Debit Card,Smart TV,62,Drama,Evening,Ads,1,282,8,74,4,4,37,13,0
N00068,38,Male,Europe,Standard,Credit Card,Mobile,36,Drama,Evening,Trending,2,322,11,59,4,4,18,5,0
N00069,24,Male,South America,Basic,Credit Card,Mobile,15,Sci-Fi,Evening,Search,1,127,4,70,3,3,17,1,0
N00070,37,Male,Asia,Basic,Credit Card,Laptop,43,Drama,Night,Search,1,202,4,59,3,4,21,44,1
N00071,35,Male,North America,Basic,Debit Card,Smart TV,21,Romance,Evening,Trending,1,202,6,45,3,2,31,41,1
N00072,27,Female,Asia,Premium,Paypal,Mobile,73,Documentary,Evening,Trending,2,248,8,75,3,5,20,5,0
N00073,24,Male,Asia,Standard,Debit Card,Laptop,63,Comedy,Evening,Search,2,223,6,92,5,4,32,2,0
N00074,33,Male,Asia,Standard,Credit Card,Mobile,39,Sci-Fi,Night,Friend,1,97,4,58,3,4,41,2,0
N00075,31,Female,North America,Basic,Paypal,Smart TV,31,Action,Evening,Ads,1,174,6,79,4,4,1,40,1
N00076,57,Female,Asia,Basic,Credit Card,Mobile,70,Drama,Evening,Friend,1,216,4,75,4,4,28,3,1
N00077,36,Female,North America,Standard,Gift Card,Smart TV,49,Action,Evening,Trending,2,274,4,70,5,4,20,12,0
N00078,35,Male,Europe,Basic,Debit Card,Smart TV,32,Romance,Night,Search,1,374,6,75,4,3,43,11,0
N00079,30,Male,Asia,Premium,Paypal,Smart TV,73,Comedy,Night,Algorithm,1,569,11,85,4,4,44,11,0
N00080,35,Male,Europe,Premium,Debit Card,Smart TV,90,Romance,Night,Trending,2,321,6,89,5,5,41,7,0
N00081,70,Male,Asia,Basic,Debit Card,Tablet,13,Drama,Afternoon,Trending,1,85,3,67,4,4,13,60,0
N00082,39,Male,Asia,Basic,Gift Card,Smart TV,72,Documentary,Evening,Trending,1,180,5,74,3,4,38,1,0
N00083,31,Male,North America,Standard,Credit Card,Smart TV,23,Comedy,Night,Search,2,241,5,85,5,4,40,5,0
N00084,27,Female,North America,Standard,Debit Card,Mobile,36,Sci-Fi,Evening,Trending,2,181,3,68,3,3,21,2,0
N00085,30,Female,Europe,Premium,Debit Card,Tablet,56,Comedy,Evening,Algorithm,3,207,5,72,3,3,32,3,1
N00086,23,Male,Africa,Standard,Paypal,Smart TV,67,Documentary,Evening,Ads,1,350,8,77,4,4,72,0,0
N00087,21,Male,Europe,Premium,Credit Card,Laptop,89,Horror,Evening,Friend,5,402,7,81,5,4,65,0,0
N00088,35,Male,Europe,Basic,Gift Card,Smart TV,55,Horror,Afternoon,Ads,1,143,2,62,3,3,8,3,1
N00089,21,Female,North America,Standard,Debit Card,Smart TV,22,Sci-Fi,Afternoon,Algorithm,1,321,7,80,5,4,37,0,0
N00090,41,Female,North America,Standard,Paypal,Tablet,70,Drama,Evening,Algorithm,1,362,8,77,4,4,78,1,0
N00091,71,Female,Africa,Standard,Credit Card,Tablet,33,Drama,Evening,Algorithm,1,296,6,79,3,5,80,0,0
N00092,42,Male,Asia,Standard,Gift Card,Smart TV,35,Action,Evening,Trending,1,220,5,65,4,4,36,1,0
N00093,23,Female,Asia,Premium,Gift Card,Laptop,34,Horror,Night,Algorithm,4,289,4,75,4,3,79,3,0
N00094,43,Male,Asia,Standard,Credit Card,Mobile,36,Sci-Fi,Night,Ads,1,110,3,82,5,4,31,40,0
N00095,43,Female,North America,Premium,Credit Card,Smart TV,51,Action,Night,Trending,3,282,4,92,4,5,60,4,0
N00096,35,Male,Asia,Premium,Credit Card,Smart TV,52,Romance,Evening,Search,1,266,7,76,4,4,53,1,0
N00097,34,Male,Asia,Premium,Debit Card,Smart TV,32,Drama,Afternoon,Friend,1,424,10,62,4,4,22,4,0
N00098,27,Female,South America,Premium,Credit Card,Smart TV,69,Comedy,Morning,Trending,1,193,4,84,4,5,47,5,0
N00099,21,Female,Asia,Standard,Gift Card,Smart TV,81,Drama,Afternoon,Friend,1,357,6,77,4,4,49,0,0
N00100,36,Female,North America,Basic,Credit Card,Laptop,39,Documentary,Evening,Trending,1,155,4,60,3,3,43,31,1
N00101,71,Male,South America,Standard,Debit Card,Smart TV,20,Comedy,Evening,Search,2,180,3,60,4,4,49,0,0
N00102,21,Female,Asia,Premium,Credit Card,Smart TV,58,Romance,Evening,Ads,2,235,6,68,4,3,25,6,0
N00103,30,Male,Europe,Standard,Debit Card,Smart TV,73,Horror,Night,Algorithm,2,320,6,95,4,4,85,2,0
N00104,73,Male,Asia,Basic,Credit Card,Smart TV,43,Sci-Fi,Afternoon,Ads,1,298,6,81,4,4,10,4,0
N00105,19,Female,Europe,Basic,Debit Card,Mobile,32,Comedy,Evening,Friend,1,193,8,73,4,4,11,35,1
N00106,65,Female,Asia,Basic,Paypal,Tablet,57,Action,Night,Algorithm,1,108,2,65,4,4,88,2,0
N00107,37,Male,Asia,Standard,Paypal,Smart TV,37,Comedy,Afternoon,Search,2,555,12,85,4,5,55,1,0
N00108,24,Female,Asia,Premium,Debit Card,Smart TV,18,Horror,Afternoon,Ads,3,303,9,84,4,5,68,0,0
N00109,29,Male,Africa,Basic,Credit Card,Mobile,71,Action,Evening,Friend,1,208,7,61,4,4,69,1,0
N00110,37,Male,North America,Standard,Credit Card,Smart TV,4,Sci-Fi,Evening,Algorithm,1,288,6,79,4,4,72,4,0
N00111,30,Male,South America,Standard,Gift Card,Smart TV,48,Comedy,Afternoon,Algorithm,1,113,3,84,5,3,70,4,0
N00112,31,Male,Asia,Basic,Credit Card,Mobile,27,Comedy,Morning,Friend,1,126,3,65,3,3,25,17,0
N00113,37,Male,Asia,Standard,Credit Card,Smart TV,21,Comedy,Evening,Friend,2,820,13,86,5,4,43,3,0
N00114,66,Female,North America,Standard,Paypal,Smart TV,74,Action,Evening,Friend,3,381,6,82,4,4,57,48,0
N00115,59,Male,Europe,Basic,Credit Card,Tablet,17,Drama,Afternoon,Trending,1,238,2,89,4,4,62,1,0
N00116,31,Male,Europe,Basic,Debit Card,Smart TV,16,Comedy,Evening,Algorithm,1,486,10,82,4,5,56,4,0
N00117,30,Male,Africa,Premium,Credit Card,Mobile,1,Drama,Afternoon,Trending,1,234,5,72,3,5,34,0,0
N00118,38,Male,Asia,Basic,Debit Card,Tablet,45,Documentary,Evening,Friend,1,170,4,57,3,4,22,35,1
N00119,36,Male,Europe,Premium,Credit Card,Mobile,58,Documentary,Evening,Trending,5,480,15,67,5,4,47,16,0
N00120,38,Male,North America,Standard,Paypal,Mobile,32,Romance,Morning,Friend,2,182,3,71,3,4,9,0,1
N00121,33,Male,Asia,Basic,Credit Card,Smart TV,34,Action,Night,Trending,1,253,4,67,4,5,44,3,0
N00122,68,Male,Asia,Basic,Credit Card,Smart TV,1,Action,Afternoon,Search,1,348,6,72,4,4,58,3,0
N00123,41,Female,North America,Premium,Credit Card,Tablet,46,Drama,Morning,Algorithm,3,339,9,65,4,3,17,3,0
N00124,21,Female,South America,Standard,Paypal,Mobile,48,Sci-Fi,Night,Algorithm,1,229,4,55,4,4,38,11,0
N00125,39,Male,North America,Premium,Paypal,Mobile,22,Comedy,Evening,Ads,1,307,12,76,5,4,30,6,0
N00126,41,Female,Europe,Standard,Credit Card,Smart TV,25,Action,Night,Trending,1,279,2,70,4,5,32,4,0
N00127,34,Male,Asia,Basic,Debit Card,Smart TV,62,Action,Evening,Search,1,375,9,69,4,3,4,0,0
N00128,35,Female,Asia,Basic,Credit Card,Smart TV,20,Drama,Afternoon,Trending,1,139,4,59,4,3,57,55,1
N00129,65,Male,North America,Premium,Credit Card,Mobile,61,Drama,Morning,Algorithm,1,88,4,82,4,4,40,5,0
N00130,24,Female,North America,Premium,Gift Card,Mobile,50,Drama,Evening,Friend,2,245,4,64,3,4,19,16,0
N00131,58,Male,Asia,Basic,Credit Card,Laptop,61,Documentary,Evening,Algorithm,1,184,4,64,4,4,55,1,0
N00132,41,Female,North America,Premium,Paypal,Smart TV,63,Drama,Afternoon,Trending,1,494,13,80,5,4,35,7,0
N00133,68,Male,North America,Basic,Credit Card,Mobile,1,Horror,Evening,Algorithm,1,321,6,75,4,3,61,2,0
N00134,53,Female,North America,Premium,Paypal,Laptop,75,Drama,Morning,Trending,3,188,4,66,3,3,62,5,0
N00135,48,Female,North America,Basic,Debit Card,Mobile,43,Documentary,Evening,Algorithm,1,181,6,68,3,4,87,0,0
N00136,29,Female,Asia,Basic,Debit Card,Mobile,1,Action,Evening,Trending,1,314,7,61,4,4,59,2,0
N00137,45,Male,North America,Standard,Credit Card,Tablet,19,Comedy,Night,Algorithm,3,193,2,65,3,4,35,4,0
N00138,32,Male,Africa,Basic,Credit Card,Laptop,19,Comedy,Evening,Trending,1,647,11,88,4,5,60,0,1
N00139,28,Male,Europe,Premium,Debit Card,Laptop,76,Drama,Night,Ads,4,338,8,70,4,4,55,4,0
N00140,52,Male,Asia,Basic,Paypal,Laptop,1,Drama,Evening,Friend,1,516,9,69,3,4,32,14,0
N00141,47,Male,South America,Standard,Debit Card,Mobile,52,Drama,Evening,Algorithm,3,101,2,63,4,5,27,35,1
N00142,22,Male,North America,Basic,Debit Card,Smart TV,54,Action,Evening,Friend,1,422,9,66,4,4,39,0,0
N00143,31,Female,North America,Basic,Paypal,Mobile,66,Action,Night,Algorithm,1,85,3,57,4,3,40,18,1
N00144,47,Male,Asia,Standard,Paypal,Smart TV,69,Comedy,Night,Algorithm,2,348,6,83,4,4,31,12,0
N00145,33,Female,Asia,Standard,Debit Card,Mobile,30,Action,Night,Ads,1,81,1,73,3,2,46,3,0
N00146,35,Female,Asia,Standard,Paypal,Mobile,4,Sci-Fi,Night,Trending,1,137,5,63,3,4,28,42,0
N00147,30,Male,North America,Premium,Credit Card,Smart TV,30,Comedy,Evening,Algorithm,2,232,4,75,4,4,85,1,0
N00148,20,Male,Europe,Basic,Paypal,Mobile,18,Comedy,Night,Friend,1,366,10,63,3,3,20,25,1
N00149,57,Male,North America,Basic,Credit Card,Mobile,37,Documentary,Evening,Trending,1,130,2,76,4,4,17,1,0
N00150,31,Female,North America,Basic,Debit Card,Smart TV,20,Comedy,Evening,Algorithm,1,120,4,63,3,3,37,0,0
N00151,21,Female,Asia,Basic,Debit Card,Laptop,7,Romance,Evening,Algorithm,1,187,4,69,3,5,53,1,0
N00152,35,Male,South America,Premium,Paypal,Laptop,44,Action,Evening,Algorithm,1,84,3,61,4,4,39,30,0
N00153,34,Male,South America,Premium,Paypal,Laptop,65,Documentary,Evening,Friend,1,136,4,77,5,3,33,3,0
N00154,40,Female,Europe,Basic,Credit Card,Smart TV,18,Horror,Evening,Friend,1,177,3,83,4,4,51,35,0
N00155,20,Male,Europe,Standard,Paypal,Mobile,38,Horror,Afternoon,Trending,1,69,2,74,3,4,46,1,0
N00156,45,Male,Asia,Standard,Credit Card,Smart TV,71,Sci-Fi,Afternoon,Algorithm,2,282,5,83,5,4,66,3,0
N00157,45,Male,South America,Basic,Credit Card,Tablet,34,Drama,Evening,Friend,1,118,1,77,4,3,29,2,0
N00158,46,Female,Africa,Premium,Credit Card,Smart TV,50,Documentary,Night,Friend,1,225,3,77,4,5,29,22,0
N00159,23,Male,North America,Standard,Paypal,Smart TV,30,Action,Afternoon,Friend,3,358,3,71,4,3,39,7,0
N00160,19,Male,South America,Basic,Credit Card,Laptop,37,Horror,Evening,Algorithm,1,175,3,81,4,5,54,7,0
N00161,37,Female,Africa,Premium,Debit Card,Mobile,39,Documentary,Afternoon,Algorithm,1,532,19,72,4,4,88,6,0
N00162,38,Male,Asia,Basic,Credit Card,Mobile,39,Comedy,Evening,Friend,1,114,4,71,3,4,0,20,0
N00163,44,Male,South America,Standard,Credit Card,Mobile,46,Comedy,Afternoon,Trending,1,179,5,53,4,3,7,31,1
N00164,29,Male,Asia,Standard,Credit Card,Smart TV,24,Horror,Morning,Algorithm,1,111,2,76,3,3,68,0,1
N00165,28,Male,North America,Premium,Paypal,Tablet,76,Documentary,Evening,Trending,1,287,8,69,4,5,25,20,0
N00166,41,Female,Asia,Basic,Paypal,Smart TV,26,Comedy,Night,Ads,1,187,3,79,5,4,6,2,1
N00167,38,Male,South America,Basic,Credit Card,Smart TV,50,Comedy,Morning,Algorithm,1,311,6,70,4,4,70,5,0
N00168,19,Female,North America,Basic,Paypal,Mobile,51,Sci-Fi,Night,Algorithm,1,228,6,57,3,4,19,34,0
N00169,38,Male,Asia,Standard,Paypal,Laptop,36,Action,Night,Search,2,260,4,76,4,4,31,4,1
N00170,27,Female,Europe,Basic,Credit Card,Mobile,18,Sci-Fi,Night,Trending,1,142,3,75,4,4,45,5,0
N00171,71,Male,Europe,Premium,Credit Card,Smart TV,95,Drama,Evening,Trending,4,375,7,76,4,5,46,3,0
N00172,23,Male,Asia,Standard,Paypal,Mobile,30,Drama,Evening,Trending,1,168,5,74,4,4,54,2,0
N00173,56,Male,Europe,Premium,Debit Card,Smart TV,62,Action,Evening,Algorithm,2,461,11,80,4,4,61,1,0
N00174,38,Male,Asia,Standard,Paypal,Smart TV,55,Horror,Afternoon,Algorithm,1,708,12,94,4,5,32,3,0
N00175,44,Female,South America,Premium,Debit Card,Laptop,70,Comedy,Afternoon,Friend,1,259,6,80,4,4,49,2,0
N00176,60,Male,South America,Basic,Credit Card,Mobile,34,Action,Night,Algorithm,1,376,9,67,4,4,31,1,0
N00177,24,Female,Europe,Standard,Debit Card,Smart TV,17,Documentary,Afternoon,Search,2,472,7,72,4,4,25,31,0
N00178,22,Male,Asia,Basic,Credit Card,Laptop,82,Comedy,Afternoon,Algorithm,1,84,2,71,5,5,31,2,0
N00179,30,Male,Europe,Basic,Credit Card,Laptop,40,Sci-Fi,Evening,Ads,1,162,2,59,4,3,0,4,1
N00180,23,Female,South America,Basic,Credit Card,Smart TV,52,Drama,Evening,Trending,1,199,4,57,4,4,62,0,0
N00181,56,Male,Asia,Standard,Credit Card,Smart TV,28,Sci-Fi,Afternoon,Friend,2,690,12,87,5,4,63,1,0
N00182,55,Female,Africa,Standard,Credit Card,Smart TV,55,Comedy,Evening,Friend,2,120,3,54,4,5,21,41,0
N00183,35,Female,Europe,Premium,Gift Card,Smart TV,51,Action,Morning,Search,2,322,5,69,4,4,31,2,0
N00184,33,Male,Asia,Basic,Credit Card,Mobile,52,Action,Evening,Trending,1,411,10,68,4,3,22,23,0
N00185,48,Female,Africa,Standard,Debit Card,Laptop,63,Action,Morning,Trending,2,106,1,55,3,3,12,0,1
N00186,23,Female,Africa,Standard,Credit Card,Mobile,1,Comedy,Evening,Search,2,100,3,57,4,4,53,2,0
N00187,51,Male,South America,Premium,Paypal,Mobile,55,Comedy,Evening,Search,3,134,4,79,4,4,33,1,0
N00188,40,Male,Europe,Premium,Paypal,Mobile,97,Drama,Afternoon,Algorithm,4,406,9,90,4,4,45,16,0
N00189,76,Female,North America,Premium,Credit Card,Smart TV,60,Documentary,Night,Ads,1,359,5,78,4,4,28,4,0
N00190,37,Male,Asia,Premium,Debit Card,Smart TV,8,Drama,Evening,Algorithm,1,304,5,79,5,5,37,40,0
N00191,60,Female,South America,Standard,Paypal,Smart TV,39,Drama,Morning,Friend,3,271,5,81,4,4,31,5,0
N00192,31,Male,Asia,Premium,Credit Card,Smart TV,61,Action,Night,Trending,4,392,5,71,4,4,18,0,0
N00193,40,Male,South America,Basic,Credit Card,Tablet,56,Comedy,Evening,Search,1,83,1,60,4,4,57,4,0
N00194,35,Male,Europe,Standard,Debit Card,Mobile,12,Comedy,Afternoon,Algorithm,2,191,4,71,3,3,45,16,1
N00195,21,Male,Asia,Basic,Debit Card,Mobile,15,Drama,Evening,Trending,1,248,8,51,3,3,53,3,1
N00196,36,Male,South America,Basic,Debit Card,Laptop,68,Documentary,Afternoon,Trending,1,127,4,50,3,4,13,38,1
N00197,44,Male,Asia,Basic,Credit Card,Laptop,1,Action,Evening,Search,1,207,7,64,4,4,24,23,0
N00198,58,Male,North America,Basic,Paypal,Mobile,46,Drama,Morning,Search,1,362,6,77,4,4,68,36,1
N00199,57,Female,Europe,Premium,Gift Card,Mobile,56,Horror,Afternoon,Trending,2,208,7,81,5,4,36,0,0
N00200,35,Male,North America,Premium,Credit Card,Tablet,20,Action,Evening,Trending,1,289,6,87,4,4,48,2,0
N00201,59,Male,South America,Standard,Debit Card,Laptop,57,Drama,Evening,Algorithm,2,238,8,68,4,4,65,43,1
N00202,23,Female,Africa,Basic,Paypal,Smart TV,24,Action,Morning,Search,1,380,7,59,4,4,45,7,0
N00203,39,Male,Africa,Basic,Credit Card,Smart TV,28,Comedy,Evening,Ads,1,495,10,77,4,5,16,3,0
N00204,30,Male,Asia,Standard,Paypal,Smart TV,8,Drama,Night,Algorithm,2,358,7,78,3,3,53,2,0
N00205,45,Male,Europe,Standard,Paypal,Laptop,21,Comedy,Evening,Algorithm,1,496,10,74,4,4,56,2,0
N00206,37,Male,South America,Standard,Credit Card,Mobile,9,Action,Night,Search,1,389,7,80,4,3,27,19,0
N00207,69,Male,North America,Standard,Paypal,Smart TV,34,Romance,Afternoon,Trending,3,133,3,77,4,4,0,4,0
N00208,39,Female,Asia,Basic,Paypal,Laptop,78,Documentary,Night,Friend,1,180,3,69,4,3,42,21,0
N00209,46,Male,Asia,Basic,Credit Card,Smart TV,53,Action,Night,Trending,1,387,8,79,4,4,41,1,0
N00210,39,Male,Asia,Premium,Credit Card,Mobile,42,Drama,Evening,Ads,3,184,7,93,4,4,62,5,0
N00211,36,Male,North America,Standard,Paypal,Smart TV,31,Comedy,Morning,Search,1,292,10,83,5,3,10,25,0
N00212,31,Male,Asia,Basic,Paypal,Tablet,27,Action,Evening,Trending,1,119,2,82,4,4,23,33,1
N00213,19,Female,North America,Basic,Credit Card,Mobile,30,Comedy,Night,Friend,1,96,3,54,4,3,57,27,0
N00214,34,Male,North America,Basic,Credit Card,Smart TV,40,Action,Night,Search,1,214,4,78,5,4,20,3,0
N00215,22,Female,Oceania,Premium,Credit Card,Tablet,57,Comedy,Evening,Friend,2,257,5,63,3,4,30,2,0
N00216,26,Female,Europe,Premium,Debit Card,Mobile,41,Drama,Evening,Friend,1,120,4,65,4,4,42,6,0
N00217,37,Female,Europe,Standard,Paypal,Laptop,22,Action,Evening,Algorithm,2,124,1,47,3,4,85,24,0
N00218,39,Female,Europe,Basic,Debit Card,Mobile,80,Romance,Night,Friend,1,108,3,59,4,3,60,41,1
N00219,19,Male,Europe,Basic,Debit Card,Smart TV,27,Action,Night,Trending,1,440,9,89,4,5,61,2,0
N00220,32,Male,Africa,Standard,Paypal,Mobile,12,Sci-Fi,Afternoon,Ads,1,208,10,67,4,3,27,3,1
N00221,35,Male,North America,Standard,Credit Card,Laptop,50,Action,Afternoon,Algorithm,2,159,3,84,4,4,76,0,0
N00222,31,Male,Europe,Standard,Debit Card,Laptop,29,Sci-Fi,Evening,Search,2,206,7,72,4,5,39,7,0
N00223,32,Female,Asia,Premium,Credit Card,Smart TV,51,Comedy,Evening,Search,2,318,6,85,4,4,29,2,1
N00224,35,Male,South America,Basic,Debit Card,Smart TV,1,Comedy,Afternoon,Search,1,206,3,68,4,5,21,56,1
